,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,91.73084210526316,0.04523328650182555,8.0,0.0,D3 R3,50,0,2,2
0,46.966157894736845,0.05806398109221421,8.0,1.0,D3 R3,50,0,2,2
0,136.6955,0.03728349318754787,8.0,2.0,D3 R3,50,0,2,2
0,78.38621052631579,0.04904016387748103,8.0,3.0,D3 R3,50,0,2,2
0,87.98634210526316,0.04632348545510302,8.0,4.0,D3 R3,50,0,2,2
1,170.7834736842105,0.03759655620906206,7.0,0.0,D3 R3,50,0,2,2
1,141.8502105263158,0.03754027846094389,7.0,1.0,D3 R3,50,0,2,2
1,140.3432105263158,0.03856554032134139,7.0,2.0,D3 R3,50,0,2,2
1,111.15118421052631,0.04189144723927014,7.0,3.0,D3 R3,50,0,2,2
1,176.27481578947368,0.03473847683553765,7.0,4.0,D3 R3,50,0,2,2
2,61.79226315789473,0.052908861690924354,6.0,0.0,D3 R3,50,0,2,2
2,56.993368421052644,0.055737103026077824,6.0,1.0,D3 R3,50,0,2,2
2,145.49015789473685,0.036014814011110036,6.0,2.0,D3 R3,50,0,2,2
2,87.99994736842105,0.044373438874650305,6.0,3.0,D3 R3,50,0,2,2
2,102.39010526315789,0.040711062154130194,6.0,4.0,D3 R3,50,0,2,2
3,162.18171052631578,0.03436686443641805,4.0,0.0,D3 R3,50,0,2,2
3,190.22123684210524,0.030518471088216828,4.0,1.0,D3 R3,50,0,2,2
3,145.64176315789473,0.03476480632770403,4.0,2.0,D3 R3,50,0,2,2
3,107.74665789473684,0.04028383541970506,4.0,3.0,D3 R3,50,0,2,2
3,166.28523684210523,0.03319859657281362,4.0,4.0,D3 R3,50,0,2,2
4,245.45139473684208,0.030280527052208926,5.0,0.0,D3 R3,50,0,2,2
4,228.06726315789467,0.02967260761475606,5.0,1.0,D3 R3,50,0,2,2
4,200.02871052631576,0.0323754057504601,5.0,2.0,D3 R3,50,0,2,2
4,226.81063157894738,0.02956335044866688,5.0,3.0,D3 R3,50,0,2,2
4,202.92681578947364,0.030753690407562633,5.0,4.0,D3 R3,50,0,2,2
5,179.50147368421054,0.03091497140648381,1.0,0.0,D3 R3,50,0,2,2
5,123.56960526315788,0.03661598371145987,1.0,1.0,D3 R3,50,0,2,2
5,161.2507631578947,0.033731473831865186,1.0,2.0,D3 R3,50,0,2,2
5,117.21931578947367,0.03627204172748389,1.0,3.0,D3 R3,50,0,2,2
5,78.4427894736842,0.046002596879606596,1.0,4.0,D3 R3,50,0,2,2
6,135.31097368421052,0.03656174813370933,2.0,0.0,D3 R3,50,0,2,2
6,181.06226315789476,0.031535737982217926,2.0,1.0,D3 R3,50,0,2,2
6,185.57192105263164,0.03023071487549801,2.0,2.0,D3 R3,50,0,2,2
6,149.8732631578947,0.03363761682890121,2.0,3.0,D3 R3,50,0,2,2
6,104.93055263157895,0.039825615373641085,2.0,4.0,D3 R3,50,0,2,2
7,264.29068421052625,0.028325503371948002,3.0,0.0,D3 R3,50,0,2,2
7,180.54063157894737,0.033864310878069515,3.0,1.0,D3 R3,50,0,2,2
7,210.1108421052631,0.03012837836368702,3.0,2.0,D3 R3,50,0,2,2
7,227.91626315789475,0.028059752725063163,3.0,3.0,D3 R3,50,0,2,2
7,236.45689473684206,0.028430888892422904,3.0,4.0,D3 R3,50,0,2,2
8,43.7618157894737,0.05998291250217656,8.0,0.0,D2 R3,50,0,2,2
8,43.73334210526317,0.06043254463882475,8.0,1.0,D2 R3,50,0,2,2
8,41.78271052631579,0.059767404655713285,8.0,2.0,D2 R3,50,0,2,2
8,49.445157894736845,0.056284626153810774,8.0,3.0,D2 R3,50,0,2,2
8,52.64707894736843,0.05408606048750613,8.0,4.0,D2 R3,50,0,2,2
9,51.16381578947369,0.05096129241002158,7.0,0.0,D2 R3,50,0,2,2
9,54.60002631578949,0.05889854945093151,7.0,1.0,D2 R3,50,0,2,2
9,71.24694736842106,0.04335312469768046,7.0,2.0,D2 R3,50,0,2,2
9,33.48752631578948,0.06973701340594653,7.0,3.0,D2 R3,50,0,2,2
9,73.77373684210528,0.04823137549062282,7.0,4.0,D2 R3,50,0,2,2
10,27.958815789473693,0.07615348666906827,6.0,0.0,D2 R3,50,0,2,2
10,29.495921052631587,0.07125846161544996,6.0,1.0,D2 R3,50,0,2,2
10,28.439552631578962,0.07584869305549798,6.0,2.0,D2 R3,50,0,2,2
10,33.436763157894745,0.0636027344182997,6.0,3.0,D2 R3,50,0,2,2
10,36.762131578947375,0.07846214041959586,6.0,4.0,D2 R3,50,0,2,2
11,46.00181578947369,0.06055235423894035,4.0,0.0,D2 R3,50,0,2,2
