,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,152.89207894736842,0.03558427046756953,8.0,0.0,D3 R3,500,0,1,2
0,94.01405263157898,0.04427720535588741,8.0,1.0,D3 R3,500,0,1,2
0,180.09107894736843,0.03486587378977693,8.0,2.0,D3 R3,500,0,1,2
0,197.92265789473686,0.03170742505035847,8.0,3.0,D3 R3,500,0,1,2
0,193.54226315789472,0.033129624539989355,8.0,4.0,D3 R3,500,0,1,2
1,126.07613157894734,0.03899671038757797,7.0,0.0,D3 R3,500,0,1,2
1,155.7238157894737,0.037655628127012966,7.0,1.0,D3 R3,500,0,1,2
1,168.18465789473683,0.035912949731938676,7.0,2.0,D3 R3,500,0,1,2
1,168.57313157894737,0.03542832000992655,7.0,3.0,D3 R3,500,0,1,2
1,130.6726315789474,0.04005839314670329,7.0,4.0,D3 R3,500,0,1,2
2,86.78605263157894,0.045212869861445786,6.0,0.0,D3 R3,500,0,1,2
2,53.45857894736842,0.0562221060416295,6.0,1.0,D3 R3,500,0,1,2
2,153.4375,0.035403691882231254,6.0,2.0,D3 R3,500,0,1,2
2,146.5791315789474,0.038156383817636357,6.0,3.0,D3 R3,500,0,1,2
2,162.84505263157894,0.03619624680196107,6.0,4.0,D3 R3,500,0,1,2
3,178.48478947368417,0.032548264822203465,4.0,0.0,D3 R3,500,0,1,2
3,166.0992631578947,0.033583726561397145,4.0,1.0,D3 R3,500,0,1,2
3,204.8076052631579,0.029681603328952515,4.0,2.0,D3 R3,500,0,1,2
3,197.1098421052631,0.030207483112816267,4.0,3.0,D3 R3,500,0,1,2
3,178.50689473684213,0.03527347158678792,4.0,4.0,D3 R3,500,0,1,2
4,202.96984210526318,0.03049382345161165,5.0,0.0,D3 R3,500,0,1,2
4,222.041,0.029737220537880794,5.0,1.0,D3 R3,500,0,1,2
4,230.98197368421046,0.02965362716225649,5.0,2.0,D3 R3,500,0,1,2
4,237.04510526315786,0.02865753829946043,5.0,3.0,D3 R3,500,0,1,2
4,210.50423684210529,0.030053489940732814,5.0,4.0,D3 R3,500,0,1,2
5,109.05863157894737,0.03686578656202205,1.0,0.0,D3 R3,500,0,1,2
5,89.53857894736839,0.0426072420788101,1.0,1.0,D3 R3,500,0,1,2
5,84.75228947368424,0.044594572542821946,1.0,2.0,D3 R3,500,0,1,2
5,177.0029736842105,0.03177229733771769,1.0,3.0,D3 R3,500,0,1,2
5,166.21436842105257,0.03248551243255276,1.0,4.0,D3 R3,500,0,1,2
6,123.72384210526316,0.03749533211945085,2.0,0.0,D3 R3,500,0,1,2
6,181.17047368421052,0.032198054000831214,2.0,1.0,D3 R3,500,0,1,2
6,218.5622631578947,0.0282868113802341,2.0,2.0,D3 R3,500,0,1,2
6,179.9542631578947,0.030959192603299573,2.0,3.0,D3 R3,500,0,1,2
6,193.99184210526317,0.031074913950135244,2.0,4.0,D3 R3,500,0,1,2
7,230.28342105263152,0.027402976666667172,3.0,0.0,D3 R3,500,0,1,2
7,214.2386315789474,0.03033959454623474,3.0,1.0,D3 R3,500,0,1,2
7,223.77178947368415,0.029669701801436243,3.0,2.0,D3 R3,500,0,1,2
7,237.90197368421047,0.0285673197728238,3.0,3.0,D3 R3,500,0,1,2
7,283.13242105263157,0.025268221806074857,3.0,4.0,D3 R3,500,0,1,2
8,50.599973684210525,0.05503121438589833,8.0,0.0,D2 R3,500,0,1,2
8,49.781105263157905,0.061172271047855956,8.0,1.0,D2 R3,500,0,1,2
8,45.47850000000001,0.061106997119420865,8.0,2.0,D2 R3,500,0,1,2
8,67.95539473684212,0.04830828186711787,8.0,3.0,D2 R3,500,0,1,2
8,63.389078947368425,0.05142080011250823,8.0,4.0,D2 R3,500,0,1,2
9,79.96405263157897,0.05001733079145053,7.0,0.0,D2 R3,500,0,1,2
9,79.01915789473685,0.04849884340511998,7.0,1.0,D2 R3,500,0,1,2
9,83.80550000000001,0.04550129750668923,7.0,2.0,D2 R3,500,0,1,2
9,78.38444736842106,0.04679991077127655,7.0,3.0,D2 R3,500,0,1,2
9,58.88942105263159,0.05388785549202238,7.0,4.0,D2 R3,500,0,1,2
