,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,63.76136842105266,0.052186141376811476,8.0,0.0,D3 R3,50,0,3,3
0,102.05073684210527,0.041319070436270124,8.0,1.0,D3 R3,50,0,3,3
0,153.9488421052631,0.03431504277521477,8.0,2.0,D3 R3,50,0,3,3
0,101.05094736842103,0.043288765791684475,8.0,3.0,D3 R3,50,0,3,3
0,87.98634210526316,0.04632348545510302,8.0,4.0,D3 R3,50,0,3,3
1,170.7834736842105,0.03759655620906206,7.0,0.0,D3 R3,50,0,3,3
1,141.8502105263158,0.03754027846094389,7.0,1.0,D3 R3,50,0,3,3
1,140.3432105263158,0.03856554032134139,7.0,2.0,D3 R3,50,0,3,3
1,111.15118421052631,0.04189144723927014,7.0,3.0,D3 R3,50,0,3,3
1,176.27481578947368,0.03473847683553765,7.0,4.0,D3 R3,50,0,3,3
2,61.79226315789473,0.052908861690924354,6.0,0.0,D3 R3,50,0,3,3
2,56.993368421052644,0.055737103026077824,6.0,1.0,D3 R3,50,0,3,3
2,145.49015789473685,0.036014814011110036,6.0,2.0,D3 R3,50,0,3,3
2,87.99994736842105,0.044373438874650305,6.0,3.0,D3 R3,50,0,3,3
2,102.39010526315789,0.040711062154130194,6.0,4.0,D3 R3,50,0,3,3
3,155.35492105263157,0.03479775858830685,4.0,0.0,D3 R3,50,0,3,3
3,166.9215263157895,0.0331376295633045,4.0,1.0,D3 R3,50,0,3,3
3,93.21473684210527,0.0424527723580737,4.0,2.0,D3 R3,50,0,3,3
3,133.99305263157896,0.035852885000804136,4.0,3.0,D3 R3,50,0,3,3
3,175.61673684210524,0.032471173024119816,4.0,4.0,D3 R3,50,0,3,3
4,245.45139473684208,0.030280527052208926,5.0,0.0,D3 R3,50,0,3,3
4,228.06726315789467,0.02967260761475606,5.0,1.0,D3 R3,50,0,3,3
4,200.02871052631576,0.0323754057504601,5.0,2.0,D3 R3,50,0,3,3
4,226.81063157894738,0.02956335044866688,5.0,3.0,D3 R3,50,0,3,3
4,202.92681578947364,0.030753690407562633,5.0,4.0,D3 R3,50,0,3,3
5,147.5440789473684,0.035896125918484276,1.0,0.0,D3 R3,50,0,3,3
5,97.65726315789472,0.04005079444572943,1.0,1.0,D3 R3,50,0,3,3
5,134.0873947368421,0.03538915041024583,1.0,2.0,D3 R3,50,0,3,3
5,157.9658157894737,0.03372634084038757,1.0,3.0,D3 R3,50,0,3,3
5,77.37968421052634,0.045235441330383534,1.0,4.0,D3 R3,50,0,3,3
6,135.31097368421052,0.03656174813370933,2.0,0.0,D3 R3,50,0,3,3
6,181.06226315789476,0.031535737982217926,2.0,1.0,D3 R3,50,0,3,3
6,185.57192105263164,0.03023071487549801,2.0,2.0,D3 R3,50,0,3,3
6,149.8732631578947,0.03363761682890121,2.0,3.0,D3 R3,50,0,3,3
6,104.93055263157895,0.039825615373641085,2.0,4.0,D3 R3,50,0,3,3
7,264.29068421052625,0.028325503371948002,3.0,0.0,D3 R3,50,0,3,3
7,180.54063157894737,0.033864310878069515,3.0,1.0,D3 R3,50,0,3,3
7,210.1108421052631,0.03012837836368702,3.0,2.0,D3 R3,50,0,3,3
7,227.91626315789475,0.028059752725063163,3.0,3.0,D3 R3,50,0,3,3
7,236.45689473684206,0.028430888892422904,3.0,4.0,D3 R3,50,0,3,3
8,43.7618157894737,0.05998291250217656,8.0,0.0,D2 R3,50,0,3,3
8,44.549315789473695,0.060284562964791885,8.0,1.0,D2 R3,50,0,3,3
8,41.78271052631579,0.059767404655713285,8.0,2.0,D2 R3,50,0,3,3
8,52.857236842105266,0.054625234141247855,8.0,3.0,D2 R3,50,0,3,3
8,48.71978947368421,0.05533424938611396,8.0,4.0,D2 R3,50,0,3,3
9,51.16381578947369,0.05096129241002158,7.0,0.0,D2 R3,50,0,3,3
9,80.20550000000003,0.05392198054735737,7.0,1.0,D2 R3,50,0,3,3
9,39.43373684210527,0.0664042799324848,7.0,2.0,D2 R3,50,0,3,3
9,70.715,0.043441841116103566,7.0,3.0,D2 R3,50,0,3,3
