,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,141.99647368421049,0.03687885854736061,8.0,0.0,D3 R3,100,-5,3,0
0,196.66307894736838,0.030888846609663914,8.0,1.0,D3 R3,100,-5,3,0
0,210.5911842105263,0.030461194149778013,8.0,2.0,D3 R3,100,-5,3,0
0,163.26768421052628,0.036242130677032226,8.0,3.0,D3 R3,100,-5,3,0
0,76.38613157894737,0.04739564641577299,8.0,4.0,D3 R3,100,-5,3,0
1,102.94444736842107,0.04378321453875059,7.0,0.0,D3 R3,100,-5,3,0
1,139.74042105263158,0.038282256509183245,7.0,1.0,D3 R3,100,-5,3,0
1,116.62602631578947,0.04139468665302943,7.0,2.0,D3 R3,100,-5,3,0
1,53.45542105263158,0.056996269985357534,7.0,3.0,D3 R3,100,-5,3,0
1,129.97026315789475,0.040168826545454145,7.0,4.0,D3 R3,100,-5,3,0
2,154.23742105263156,0.035831491395464814,6.0,0.0,D3 R3,100,-5,3,0
2,157.29507894736844,0.037336467064428926,6.0,1.0,D3 R3,100,-5,3,0
2,90.66136842105263,0.04425603469187224,6.0,2.0,D3 R3,100,-5,3,0
2,61.37015789473685,0.05354631412368817,6.0,3.0,D3 R3,100,-5,3,0
2,168.4641315789474,0.03388271076290472,6.0,4.0,D3 R3,100,-5,3,0
3,199.73181578947364,0.031046944171403905,4.0,0.0,D3 R3,100,-5,3,0
3,182.47813157894737,0.03182181280321884,4.0,1.0,D3 R3,100,-5,3,0
3,160.92281578947373,0.03414889184738551,4.0,2.0,D3 R3,100,-5,3,0
3,171.82331578947367,0.03253244172426865,4.0,3.0,D3 R3,100,-5,3,0
3,213.15302631578948,0.03132722038167614,4.0,4.0,D3 R3,100,-5,3,0
4,222.83994736842106,0.02935536636845193,5.0,0.0,D3 R3,100,-5,3,0
4,212.29749999999999,0.029956842225473027,5.0,1.0,D3 R3,100,-5,3,0
4,208.60713157894736,0.0312719064491436,5.0,2.0,D3 R3,100,-5,3,0
4,225.0518947368421,0.029899172669419955,5.0,3.0,D3 R3,100,-5,3,0
4,252.93113157894734,0.028429360384221718,5.0,4.0,D3 R3,100,-5,3,0
