,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,79.78760526315791,0.04557334048411295,8.0,0.0,D3 R3,500,-1,0,2
0,74.1523947368421,0.04841605737963767,8.0,1.0,D3 R3,500,-1,0,2
0,84.25913157894738,0.04694666036756598,8.0,2.0,D3 R3,500,-1,0,2
0,138.70460526315787,0.03638358469773235,8.0,3.0,D3 R3,500,-1,0,2
0,94.69800000000001,0.04304124962143954,8.0,4.0,D3 R3,500,-1,0,2
1,87.18336842105263,0.046741779759325086,7.0,0.0,D3 R3,500,-1,0,2
1,67.11018421052634,0.055032060663135506,7.0,1.0,D3 R3,500,-1,0,2
1,123.73723684210526,0.03738464251326841,7.0,2.0,D3 R3,500,-1,0,2
1,125.54044736842106,0.0388350086228501,7.0,3.0,D3 R3,500,-1,0,2
1,122.05455263157897,0.04065403234933023,7.0,4.0,D3 R3,500,-1,0,2
2,50.74250000000001,0.057302596833635006,6.0,0.0,D3 R3,500,-1,0,2
2,62.445105263157906,0.05552416122035864,6.0,1.0,D3 R3,500,-1,0,2
2,70.68557894736843,0.04958334012275225,6.0,2.0,D3 R3,500,-1,0,2
2,57.90536842105263,0.05291777123486375,6.0,3.0,D3 R3,500,-1,0,2
2,100.15392105263157,0.04412021634471786,6.0,4.0,D3 R3,500,-1,0,2
3,122.08136842105264,0.039161475854923224,4.0,0.0,D3 R3,500,-1,0,2
3,117.323,0.039266553049200174,4.0,1.0,D3 R3,500,-1,0,2
3,130.71497368421055,0.038622135121321816,4.0,2.0,D3 R3,500,-1,0,2
3,115.81476315789475,0.04100407891337918,4.0,3.0,D3 R3,500,-1,0,2
3,152.79894736842107,0.03410812609815993,4.0,4.0,D3 R3,500,-1,0,2
4,200.07847368421054,0.031063875083125983,5.0,0.0,D3 R3,500,-1,0,2
4,195.54034210526316,0.031491463249867076,5.0,1.0,D3 R3,500,-1,0,2
4,216.20799999999997,0.031014751650538776,5.0,2.0,D3 R3,500,-1,0,2
4,174.89115789473684,0.03245227158070637,5.0,3.0,D3 R3,500,-1,0,2
4,164.9678157894737,0.03308339584039719,5.0,4.0,D3 R3,500,-1,0,2
5,74.16521052631576,0.04425982527037345,1.0,0.0,D3 R3,500,-1,0,2
5,87.80552631578946,0.04461068512303766,1.0,1.0,D3 R3,500,-1,0,2
5,167.0386842105263,0.0328359580110609,1.0,2.0,D3 R3,500,-1,0,2
5,105.41476315789474,0.04056755420645456,1.0,3.0,D3 R3,500,-1,0,2
5,119.00486842105259,0.036214714415085544,1.0,4.0,D3 R3,500,-1,0,2
6,127.4501842105263,0.03701890379558999,2.0,0.0,D3 R3,500,-1,0,2
6,77.41755263157894,0.04533400208620848,2.0,1.0,D3 R3,500,-1,0,2
6,161.05544736842106,0.034087572572392366,2.0,2.0,D3 R3,500,-1,0,2
6,136.60173684210525,0.03696312360887819,2.0,3.0,D3 R3,500,-1,0,2
6,139.11200000000002,0.03504417967488856,2.0,4.0,D3 R3,500,-1,0,2
7,174.30581578947368,0.03295734042802366,3.0,0.0,D3 R3,500,-1,0,2
7,227.4603684210526,0.028572155585328936,3.0,1.0,D3 R3,500,-1,0,2
7,212.82626315789472,0.02921688527275881,3.0,2.0,D3 R3,500,-1,0,2
7,181.76873684210528,0.03274990748755199,3.0,3.0,D3 R3,500,-1,0,2
7,208.54131578947366,0.029559684212587957,3.0,4.0,D3 R3,500,-1,0,2
8,47.89694736842106,0.0598440291548352,8.0,0.0,D2 R3,500,-1,0,2
8,55.0193157894737,0.05368145632769853,8.0,1.0,D2 R3,500,-1,0,2
8,48.79210526315791,0.0616876823389773,8.0,2.0,D2 R3,500,-1,0,2
8,47.07997368421053,0.05899008672997501,8.0,3.0,D2 R3,500,-1,0,2
8,34.61981578947369,0.06862126072743575,8.0,4.0,D2 R3,500,-1,0,2
9,54.37271052631581,0.05614037486293348,7.0,0.0,D2 R3,500,-1,0,2
9,70.1504210526316,0.048937184141404695,7.0,1.0,D2 R3,500,-1,0,2
9,67.58723684210526,0.048279003597481704,7.0,2.0,D2 R3,500,-1,0,2
9,58.60826315789474,0.054768816572006204,7.0,3.0,D2 R3,500,-1,0,2
9,45.132342105263156,0.06405158553399191,7.0,4.0,D2 R3,500,-1,0,2
10,32.49665789473684,0.07495784364627708,6.0,0.0,D2 R3,500,-1,0,2
10,30.800157894736845,0.06642818117973459,6.0,1.0,D2 R3,500,-1,0,2
10,27.770736842105272,0.07527721850625714,6.0,2.0,D2 R3,500,-1,0,2
10,31.986763157894742,0.06762412410275508,6.0,3.0,D2 R3,500,-1,0,2
10,26.61884210526316,0.07356024581622153,6.0,4.0,D2 R3,500,-1,0,2
11,53.911131578947376,0.06200706442641164,4.0,0.0,D2 R3,500,-1,0,2
11,49.819842105263156,0.06528047573712506,4.0,1.0,D2 R3,500,-1,0,2
11,39.02805263157896,0.06461182033397454,4.0,2.0,D2 R3,500,-1,0,2
11,64.10100000000001,0.052976259513315596,4.0,3.0,D2 R3,500,-1,0,2
11,60.6022894736842,0.050029876807835556,4.0,4.0,D2 R3,500,-1,0,2
12,40.964736842105275,0.06336828444643433,5.0,0.0,D2 R3,500,-1,0,2
12,36.08147368421054,0.06624071826477042,5.0,1.0,D2 R3,500,-1,0,2
12,30.94647368421053,0.07326864723461207,5.0,2.0,D2 R3,500,-1,0,2
12,24.986421052631577,0.08113459201943807,5.0,3.0,D2 R3,500,-1,0,2
12,26.48757894736843,0.07538512384752662,5.0,4.0,D2 R3,500,-1,0,2
13,53.280263157894744,0.060286914990846666,1.0,0.0,D2 R3,500,-1,0,2
13,69.66555263157895,0.05350472123005425,1.0,1.0,D2 R3,500,-1,0,2
13,70.83507894736844,0.053074472060375084,1.0,2.0,D2 R3,500,-1,0,2
13,75.3181052631579,0.049734255711086445,1.0,3.0,D2 R3,500,-1,0,2
13,46.59815789473686,0.06996543220477602,1.0,4.0,D2 R3,500,-1,0,2
14,65.31544736842106,0.05760634210718061,2.0,0.0,D2 R3,500,-1,0,2
14,27.405973684210526,0.07088298949286763,2.0,1.0,D2 R3,500,-1,0,2
14,27.174447368421053,0.07534827492800375,2.0,2.0,D2 R3,500,-1,0,2
14,36.606184210526315,0.06795696352815331,2.0,3.0,D2 R3,500,-1,0,2
14,54.099131578947365,0.05303451353636404,2.0,4.0,D2 R3,500,-1,0,2
15,52.43539473684212,0.07940025581362255,3.0,0.0,D2 R3,500,-1,0,2
15,26.00726315789474,0.07668793564625541,3.0,1.0,D2 R3,500,-1,0,2
15,29.238263157894746,0.0954773453571804,3.0,2.0,D2 R3,500,-1,0,2
15,30.314894736842106,0.06984920193588709,3.0,3.0,D2 R3,500,-1,0,2
15,35.50226315789474,0.07004581009928697,3.0,4.0,D2 R3,500,-1,0,2
16,88.1605,0.045536673601167664,8.0,0.0,D3 R1,500,-1,0,2
16,113.26473684210526,0.04162346467600156,8.0,1.0,D3 R1,500,-1,0,2
16,74.66144736842105,0.0493178501788185,8.0,2.0,D3 R1,500,-1,0,2
16,61.85,0.05409152434106628,8.0,3.0,D3 R1,500,-1,0,2
16,88.06228947368422,0.045619838530950856,8.0,4.0,D3 R1,500,-1,0,2
17,104.45602631578949,0.043996486103707017,7.0,0.0,D3 R1,500,-1,0,2
17,88.49607894736843,0.04433644349298496,7.0,1.0,D3 R1,500,-1,0,2
17,94.08157894736843,0.04288163748966467,7.0,2.0,D3 R1,500,-1,0,2
17,79.1227105263158,0.0472146003933604,7.0,3.0,D3 R1,500,-1,0,2
17,102.53078947368422,0.043215113706104945,7.0,4.0,D3 R1,500,-1,0,2
18,66.86915789473684,0.048304436230607095,6.0,0.0,D3 R1,500,-1,0,2
18,112.07644736842106,0.03980160720734891,6.0,1.0,D3 R1,500,-1,0,2
18,119.87202631578948,0.03965298750765885,6.0,2.0,D3 R1,500,-1,0,2
18,84.7963947368421,0.04326459851616034,6.0,3.0,D3 R1,500,-1,0,2
18,73.79286842105265,0.04746362508670394,6.0,4.0,D3 R1,500,-1,0,2
19,103.58302631578947,0.040232891961277994,4.0,0.0,D3 R1,500,-1,0,2
19,93.43999999999998,0.043259464082290484,4.0,1.0,D3 R1,500,-1,0,2
19,115.28015789473686,0.03965088734235353,4.0,2.0,D3 R1,500,-1,0,2
19,143.48481578947369,0.0387353805859872,4.0,3.0,D3 R1,500,-1,0,2
19,111.97284210526315,0.04016084782547478,4.0,4.0,D3 R1,500,-1,0,2
20,136.7047894736842,0.03783398822249572,5.0,0.0,D3 R1,500,-1,0,2
20,138.45776315789473,0.03945220029394104,5.0,1.0,D3 R1,500,-1,0,2
20,112.47207894736843,0.04058835818242219,5.0,2.0,D3 R1,500,-1,0,2
20,83.61586842105261,0.04616553078528373,5.0,3.0,D3 R1,500,-1,0,2
20,112.44960526315788,0.042943433772290776,5.0,4.0,D3 R1,500,-1,0,2
21,215.0655789473684,0.029121919902996868,1.0,0.0,D3 R1,500,-1,0,2
21,131.89526315789476,0.03435913572481463,1.0,1.0,D3 R1,500,-1,0,2
21,206.47865789473684,0.027798661509458533,1.0,2.0,D3 R1,500,-1,0,2
21,311.6555526315788,0.02407569002989347,1.0,3.0,D3 R1,500,-1,0,2
21,212.5960526315789,0.027881035612301135,1.0,4.0,D3 R1,500,-1,0,2
22,203.2581315789474,0.030587404845459767,2.0,0.0,D3 R1,500,-1,0,2
22,222.6824736842105,0.029623596662531986,2.0,1.0,D3 R1,500,-1,0,2
22,255.1691578947368,0.025574540718534686,2.0,2.0,D3 R1,500,-1,0,2
22,182.40631578947372,0.03257147478283853,2.0,3.0,D3 R1,500,-1,0,2
22,202.70936842105257,0.02908950748952926,2.0,4.0,D3 R1,500,-1,0,2
23,96.70297368421049,0.03966160531657901,3.0,0.0,D3 R1,500,-1,0,2
23,116.1156052631579,0.03385652369449498,3.0,1.0,D3 R1,500,-1,0,2
23,129.55847368421053,0.03338414352325312,3.0,2.0,D3 R1,500,-1,0,2
23,115.41807894736843,0.03644980991252601,3.0,3.0,D3 R1,500,-1,0,2
23,191.91736842105266,0.031548916641847446,3.0,4.0,D3 R1,500,-1,0,2
