,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,79.78760526315791,0.04557334048411295,8.0,0.0,D3 R3,500,-3,0,3
0,74.1523947368421,0.04841605737963767,8.0,1.0,D3 R3,500,-3,0,3
0,84.25913157894738,0.04694666036756598,8.0,2.0,D3 R3,500,-3,0,3
0,138.70460526315787,0.03638358469773235,8.0,3.0,D3 R3,500,-3,0,3
0,94.69800000000001,0.04304124962143954,8.0,4.0,D3 R3,500,-3,0,3
1,87.18336842105263,0.046741779759325086,7.0,0.0,D3 R3,500,-3,0,3
1,67.11018421052634,0.055032060663135506,7.0,1.0,D3 R3,500,-3,0,3
1,123.73723684210526,0.03738464251326841,7.0,2.0,D3 R3,500,-3,0,3
1,125.54044736842106,0.0388350086228501,7.0,3.0,D3 R3,500,-3,0,3
1,122.05455263157897,0.04065403234933023,7.0,4.0,D3 R3,500,-3,0,3
2,50.74250000000001,0.057302596833635006,6.0,0.0,D3 R3,500,-3,0,3
2,62.445105263157906,0.05552416122035864,6.0,1.0,D3 R3,500,-3,0,3
2,70.68557894736843,0.04958334012275225,6.0,2.0,D3 R3,500,-3,0,3
2,57.90536842105263,0.05291777123486375,6.0,3.0,D3 R3,500,-3,0,3
2,100.15392105263157,0.04412021634471786,6.0,4.0,D3 R3,500,-3,0,3
3,128.60065789473683,0.038459655264998054,4.0,0.0,D3 R3,500,-3,0,3
3,111.49623684210526,0.04038665271412727,4.0,1.0,D3 R3,500,-3,0,3
3,147.22186842105265,0.035191807234055086,4.0,2.0,D3 R3,500,-3,0,3
3,117.33789473684212,0.04041051037824778,4.0,3.0,D3 R3,500,-3,0,3
3,116.68376315789475,0.038463972062365126,4.0,4.0,D3 R3,500,-3,0,3
4,200.07847368421054,0.031063875083125983,5.0,0.0,D3 R3,500,-3,0,3
4,195.54034210526316,0.031491463249867076,5.0,1.0,D3 R3,500,-3,0,3
4,216.20799999999997,0.031014751650538776,5.0,2.0,D3 R3,500,-3,0,3
4,174.89115789473684,0.03245227158070637,5.0,3.0,D3 R3,500,-3,0,3
4,164.9678157894737,0.03308339584039719,5.0,4.0,D3 R3,500,-3,0,3
5,74.16521052631576,0.04425982527037345,1.0,0.0,D3 R3,500,-3,0,3
5,87.80552631578946,0.04461068512303766,1.0,1.0,D3 R3,500,-3,0,3
5,163.78078947368425,0.03275883505618335,1.0,2.0,D3 R3,500,-3,0,3
5,95.93618421052632,0.04216209979685284,1.0,3.0,D3 R3,500,-3,0,3
5,115.98452631578945,0.03595004132006147,1.0,4.0,D3 R3,500,-3,0,3
6,127.4501842105263,0.03701890379558999,2.0,0.0,D3 R3,500,-3,0,3
6,77.41755263157894,0.04533400208620848,2.0,1.0,D3 R3,500,-3,0,3
6,161.05544736842106,0.034087572572392366,2.0,2.0,D3 R3,500,-3,0,3
6,136.60173684210525,0.03696312360887819,2.0,3.0,D3 R3,500,-3,0,3
6,139.11200000000002,0.03504417967488856,2.0,4.0,D3 R3,500,-3,0,3
7,174.30581578947368,0.03295734042802366,3.0,0.0,D3 R3,500,-3,0,3
7,227.4603684210526,0.028572155585328936,3.0,1.0,D3 R3,500,-3,0,3
7,212.82626315789472,0.02921688527275881,3.0,2.0,D3 R3,500,-3,0,3
7,181.76873684210528,0.03274990748755199,3.0,3.0,D3 R3,500,-3,0,3
7,208.54131578947366,0.029559684212587957,3.0,4.0,D3 R3,500,-3,0,3
8,54.348789473684214,0.05623699911314683,8.0,0.0,D2 R3,500,-3,0,3
8,47.624236842105276,0.06072470062444095,8.0,1.0,D2 R3,500,-3,0,3
8,49.96971052631581,0.06105634913817812,8.0,2.0,D2 R3,500,-3,0,3
8,48.34973684210528,0.055497953594574975,8.0,3.0,D2 R3,500,-3,0,3
8,44.64805263157895,0.059504873633590596,8.0,4.0,D2 R3,500,-3,0,3
9,54.37271052631581,0.05614037486293348,7.0,0.0,D2 R3,500,-3,0,3
9,70.1504210526316,0.048937184141404695,7.0,1.0,D2 R3,500,-3,0,3
9,67.58723684210526,0.048279003597481704,7.0,2.0,D2 R3,500,-3,0,3
9,58.60826315789474,0.054768816572006204,7.0,3.0,D2 R3,500,-3,0,3
9,45.132342105263156,0.06405158553399191,7.0,4.0,D2 R3,500,-3,0,3
10,32.49665789473684,0.07495784364627708,6.0,0.0,D2 R3,500,-3,0,3
10,30.800157894736845,0.06642818117973459,6.0,1.0,D2 R3,500,-3,0,3
10,27.770736842105272,0.07527721850625714,6.0,2.0,D2 R3,500,-3,0,3
10,31.986763157894742,0.06762412410275508,6.0,3.0,D2 R3,500,-3,0,3
10,26.61884210526316,0.07356024581622153,6.0,4.0,D2 R3,500,-3,0,3
11,54.773368421052645,0.06235932645216647,4.0,0.0,D2 R3,500,-3,0,3
11,59.90000000000002,0.058164044685551454,4.0,1.0,D2 R3,500,-3,0,3
11,38.0573157894737,0.06546587521124664,4.0,2.0,D2 R3,500,-3,0,3
11,62.28976315789475,0.053405776270532494,4.0,3.0,D2 R3,500,-3,0,3
11,59.20615789473685,0.049859463158782556,4.0,4.0,D2 R3,500,-3,0,3
12,40.964736842105275,0.06336828444643433,5.0,0.0,D2 R3,500,-3,0,3
12,36.08147368421054,0.06624071826477042,5.0,1.0,D2 R3,500,-3,0,3
12,30.94647368421053,0.07326864723461207,5.0,2.0,D2 R3,500,-3,0,3
12,24.986421052631577,0.08113459201943807,5.0,3.0,D2 R3,500,-3,0,3
12,26.48757894736843,0.07538512384752662,5.0,4.0,D2 R3,500,-3,0,3
13,53.280263157894744,0.060286914990846666,1.0,0.0,D2 R3,500,-3,0,3
13,69.66555263157895,0.05350472123005425,1.0,1.0,D2 R3,500,-3,0,3
13,70.83507894736844,0.053074472060375084,1.0,2.0,D2 R3,500,-3,0,3
13,75.3181052631579,0.049734255711086445,1.0,3.0,D2 R3,500,-3,0,3
13,46.59815789473686,0.06996543220477602,1.0,4.0,D2 R3,500,-3,0,3
14,62.96013157894738,0.05778133331123796,2.0,0.0,D2 R3,500,-3,0,3
14,28.504184210526322,0.07027487828524175,2.0,1.0,D2 R3,500,-3,0,3
14,29.290210526315793,0.07323705722683387,2.0,2.0,D2 R3,500,-3,0,3
14,33.46342105263159,0.0717572759251593,2.0,3.0,D2 R3,500,-3,0,3
14,48.844500000000004,0.05633658617477859,2.0,4.0,D2 R3,500,-3,0,3
15,52.43539473684212,0.07940025581362255,3.0,0.0,D2 R3,500,-3,0,3
15,26.00726315789474,0.07668793564625541,3.0,1.0,D2 R3,500,-3,0,3
15,29.238263157894746,0.0954773453571804,3.0,2.0,D2 R3,500,-3,0,3
15,30.314894736842106,0.06984920193588709,3.0,3.0,D2 R3,500,-3,0,3
15,35.70544736842106,0.07013003602529082,3.0,4.0,D2 R3,500,-3,0,3
16,88.1605,0.045536673601167664,8.0,0.0,D3 R1,500,-3,0,3
16,113.26473684210526,0.04162346467600156,8.0,1.0,D3 R1,500,-3,0,3
16,74.66144736842105,0.0493178501788185,8.0,2.0,D3 R1,500,-3,0,3
16,61.85,0.05409152434106628,8.0,3.0,D3 R1,500,-3,0,3
16,88.06228947368422,0.045619838530950856,8.0,4.0,D3 R1,500,-3,0,3
17,104.45602631578949,0.043996486103707017,7.0,0.0,D3 R1,500,-3,0,3
17,88.29410526315789,0.04421859653786394,7.0,1.0,D3 R1,500,-3,0,3
17,94.08157894736843,0.04288163748966467,7.0,2.0,D3 R1,500,-3,0,3
17,78.92684210526316,0.047206389538879144,7.0,3.0,D3 R1,500,-3,0,3
17,107.10828947368421,0.04361885170859879,7.0,4.0,D3 R1,500,-3,0,3
18,66.86915789473684,0.048304436230607095,6.0,0.0,D3 R1,500,-3,0,3
18,110.82731578947364,0.03984093633131922,6.0,1.0,D3 R1,500,-3,0,3
