,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,79.78760526315791,0.04557334048411295,8.0,0.0,D3 R3,500,-5,2,3
0,74.1523947368421,0.04841605737963767,8.0,1.0,D3 R3,500,-5,2,3
0,84.25913157894738,0.04694666036756598,8.0,2.0,D3 R3,500,-5,2,3
0,138.70460526315787,0.03638358469773235,8.0,3.0,D3 R3,500,-5,2,3
0,94.69800000000001,0.04304124962143954,8.0,4.0,D3 R3,500,-5,2,3
1,87.18336842105263,0.046741779759325086,7.0,0.0,D3 R3,500,-5,2,3
1,67.11018421052634,0.055032060663135506,7.0,1.0,D3 R3,500,-5,2,3
1,123.73723684210526,0.03738464251326841,7.0,2.0,D3 R3,500,-5,2,3
1,125.54044736842106,0.0388350086228501,7.0,3.0,D3 R3,500,-5,2,3
1,122.05455263157897,0.04065403234933023,7.0,4.0,D3 R3,500,-5,2,3
2,52.23607894736843,0.05611273032169372,6.0,0.0,D3 R3,500,-5,2,3
2,87.59100000000001,0.04519642035319149,6.0,1.0,D3 R3,500,-5,2,3
2,83.37397368421054,0.047918642819260754,6.0,2.0,D3 R3,500,-5,2,3
2,56.84102631578949,0.05351520093676132,6.0,3.0,D3 R3,500,-5,2,3
2,53.82973684210527,0.054913763922572675,6.0,4.0,D3 R3,500,-5,2,3
3,128.60065789473683,0.038459655264998054,4.0,0.0,D3 R3,500,-5,2,3
3,111.49623684210526,0.04038665271412727,4.0,1.0,D3 R3,500,-5,2,3
3,147.22186842105265,0.035191807234055086,4.0,2.0,D3 R3,500,-5,2,3
3,117.33789473684212,0.04041051037824778,4.0,3.0,D3 R3,500,-5,2,3
3,116.68376315789475,0.038463972062365126,4.0,4.0,D3 R3,500,-5,2,3
4,200.07847368421054,0.031063875083125983,5.0,0.0,D3 R3,500,-5,2,3
4,195.54034210526316,0.031491463249867076,5.0,1.0,D3 R3,500,-5,2,3
4,216.20799999999997,0.031014751650538776,5.0,2.0,D3 R3,500,-5,2,3
4,174.89115789473684,0.03245227158070637,5.0,3.0,D3 R3,500,-5,2,3
4,164.9678157894737,0.03308339584039719,5.0,4.0,D3 R3,500,-5,2,3
5,74.16521052631576,0.04425982527037345,1.0,0.0,D3 R3,500,-5,2,3
5,87.80552631578946,0.04461068512303766,1.0,1.0,D3 R3,500,-5,2,3
5,169.03999999999996,0.03270517485970497,1.0,2.0,D3 R3,500,-5,2,3
5,104.86218421052632,0.041132269246993924,1.0,3.0,D3 R3,500,-5,2,3
5,123.63065789473684,0.03831578947368422,1.0,4.0,D3 R3,500,-5,2,3
6,127.4501842105263,0.03701890379558999,2.0,0.0,D3 R3,500,-5,2,3
6,77.41755263157894,0.04533400208620848,2.0,1.0,D3 R3,500,-5,2,3
6,161.05544736842106,0.034087572572392366,2.0,2.0,D3 R3,500,-5,2,3
6,136.60173684210525,0.03696312360887819,2.0,3.0,D3 R3,500,-5,2,3
6,139.11200000000002,0.03504417967488856,2.0,4.0,D3 R3,500,-5,2,3
7,174.30581578947368,0.03295734042802366,3.0,0.0,D3 R3,500,-5,2,3
7,227.4603684210526,0.028572155585328936,3.0,1.0,D3 R3,500,-5,2,3
7,212.82626315789472,0.02921688527275881,3.0,2.0,D3 R3,500,-5,2,3
7,181.76873684210528,0.03274990748755199,3.0,3.0,D3 R3,500,-5,2,3
7,208.54131578947366,0.029559684212587957,3.0,4.0,D3 R3,500,-5,2,3
8,51.58668421052631,0.06064102117175685,8.0,0.0,D2 R3,500,-5,2,3
8,54.197763157894755,0.0540208517502521,8.0,1.0,D2 R3,500,-5,2,3
8,61.825,0.05147862491087618,8.0,2.0,D2 R3,500,-5,2,3
8,88.99571052631579,0.04531898714190187,8.0,3.0,D2 R3,500,-5,2,3
8,47.42913157894737,0.06032532130525057,8.0,4.0,D2 R3,500,-5,2,3
9,93.39110526315791,0.04343968101202625,7.0,0.0,D2 R3,500,-5,2,3
9,73.03197368421053,0.049088499141066,7.0,1.0,D2 R3,500,-5,2,3
9,57.598947368421044,0.054185022104808765,7.0,2.0,D2 R3,500,-5,2,3
9,66.8575,0.05162415446377522,7.0,3.0,D2 R3,500,-5,2,3
9,67.02326315789473,0.05135686277967762,7.0,4.0,D2 R3,500,-5,2,3
10,32.49665789473684,0.07495784364627708,6.0,0.0,D2 R3,500,-5,2,3
10,30.607052631578952,0.06695575967355313,6.0,1.0,D2 R3,500,-5,2,3
10,62.77910526315789,0.05414141289279123,6.0,2.0,D2 R3,500,-5,2,3
10,33.43294736842106,0.06729030215820804,6.0,3.0,D2 R3,500,-5,2,3
10,96.02063157894737,0.04218043864674872,6.0,4.0,D2 R3,500,-5,2,3
11,76.28807894736842,0.0497350076242027,4.0,0.0,D2 R3,500,-5,2,3
11,91.39444736842107,0.04506732037353642,4.0,1.0,D2 R3,500,-5,2,3
11,63.09392105263158,0.05372624128645222,4.0,2.0,D2 R3,500,-5,2,3
11,83.78373684210527,0.047651711360326476,4.0,3.0,D2 R3,500,-5,2,3
11,61.18663157894737,0.05128437972597618,4.0,4.0,D2 R3,500,-5,2,3
12,33.534552631578954,0.06650667754364774,5.0,0.0,D2 R3,500,-5,2,3
12,81.0458157894737,0.0471384328966893,5.0,1.0,D2 R3,500,-5,2,3
12,76.4402105263158,0.04761073620745711,5.0,2.0,D2 R3,500,-5,2,3
12,77.29476315789475,0.04698827725556645,5.0,3.0,D2 R3,500,-5,2,3
