,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,85.15515177891416,0.04700936504179536,8.0,0.0,D3 R3,5,-1,2,3
0,74.9781818181818,0.04704394316499603,8.0,2.0,D3 R3,5,-1,2,3
0,240.07823684210518,0.027313792899348054,8.0,3.0,D3 R3,5,-1,2,3
0,131.08934210526317,0.03882197542144486,8.0,4.0,D3 R3,5,-1,2,3
1,165.83560004352088,0.03596036605936731,7.0,0.0,D3 R3,5,-1,2,3
1,152.91772727272723,0.0365752470820408,7.0,2.0,D3 R3,5,-1,2,3
1,100.99173684210525,0.04344434383300468,7.0,3.0,D3 R3,5,-1,2,3
1,153.77605263157895,0.036793704108853485,7.0,4.0,D3 R3,5,-1,2,3
2,37.42650418888043,0.07205676585208463,6.0,0.0,D3 R3,5,-1,2,3
2,85.88954545454541,0.043956689966336775,6.0,2.0,D3 R3,5,-1,2,3
2,181.59223684210528,0.034199294714990405,6.0,3.0,D3 R3,5,-1,2,3
2,112.90136842105264,0.03927875995216119,6.0,4.0,D3 R3,5,-1,2,3
3,134.83864650201286,0.036621480482994996,4.0,0.0,D3 R3,5,-1,2,3
3,139.76762626262627,0.03457717177677792,4.0,2.0,D3 R3,5,-1,2,3
3,186.10913157894737,0.0323876654388083,4.0,3.0,D3 R3,5,-1,2,3
3,188.6275526315789,0.03193601311244103,4.0,4.0,D3 R3,5,-1,2,3
4,163.7216842563377,0.035774550421172155,5.0,0.0,D3 R3,5,-1,2,3
4,174.1566666666666,0.03431347103485377,5.0,2.0,D3 R3,5,-1,2,3
4,161.86000000000004,0.03056885647435286,5.0,3.0,D3 R3,5,-1,2,3
4,210.5387105263158,0.030639389038700168,5.0,4.0,D3 R3,5,-1,2,3
5,96.97323468610597,0.045010281480457534,1.0,0.0,D3 R3,5,-1,2,3
5,90.68722222222222,0.04272052624818836,1.0,2.0,D3 R3,5,-1,2,3
5,258.9861842105263,0.027699327971687372,1.0,3.0,D3 R3,5,-1,2,3
5,106.63210526315787,0.042442742920230744,1.0,4.0,D3 R3,5,-1,2,3
6,80.40245892721141,0.04609248684853989,2.0,0.0,D3 R3,5,-1,2,3
6,103.16585858585856,0.038040111013424784,2.0,2.0,D3 R3,5,-1,2,3
6,198.82663157894729,0.029485060069686462,2.0,3.0,D3 R3,5,-1,2,3
6,180.75978947368424,0.03188949279453219,2.0,4.0,D3 R3,5,-1,2,3
7,159.78946795778484,0.03675457924922122,3.0,0.0,D3 R3,5,-1,2,3
7,154.21742424242422,0.03592116462978853,3.0,2.0,D3 R3,5,-1,2,3
7,266.80128947368416,0.023723520009940543,3.0,3.0,D3 R3,5,-1,2,3
7,250.53731578947364,0.026751219973733947,3.0,4.0,D3 R3,5,-1,2,3
8,53.130127298444144,0.05833851944647605,8.0,0.0,D2 R3,5,-1,2,3
8,40.949040404040396,0.06344763178708766,8.0,2.0,D2 R3,5,-1,2,3
8,58.54028947368421,0.05029626906084032,8.0,3.0,D2 R3,5,-1,2,3
8,43.55026315789474,0.06005014928676599,8.0,4.0,D2 R3,5,-1,2,3
9,77.06223479490808,0.04897786189519097,7.0,0.0,D2 R3,5,-1,2,3
9,50.54121212121212,0.05944613936462683,7.0,2.0,D2 R3,5,-1,2,3
9,105.5167894736842,0.043033751168265445,7.0,3.0,D2 R3,5,-1,2,3
9,65.322,0.05159381498932168,7.0,4.0,D2 R3,5,-1,2,3
10,26.08040474377108,0.07696942311588745,6.0,0.0,D2 R3,5,-1,2,3
10,34.475101010101,0.06932297917199967,6.0,2.0,D2 R3,5,-1,2,3
10,42.38439473684211,0.06262970474860557,6.0,3.0,D2 R3,5,-1,2,3
10,32.65992105263159,0.06772546217743232,6.0,4.0,D2 R3,5,-1,2,3
11,43.95049504950495,0.06064054928751203,4.0,0.0,D2 R3,5,-1,2,3
11,47.73065656565656,0.060328351535407415,4.0,2.0,D2 R3,5,-1,2,3
11,64.41057894736842,0.050517546525194676,4.0,3.0,D2 R3,5,-1,2,3
11,95.57873684210527,0.04389931977842379,4.0,4.0,D2 R3,5,-1,2,3
12,85.1832227178762,0.0474824831962204,5.0,0.0,D2 R3,5,-1,2,3
12,60.00424242424242,0.05458878750114176,5.0,2.0,D2 R3,5,-1,2,3
12,25.537342105263157,0.07582519945622417,5.0,3.0,D2 R3,5,-1,2,3
12,82.17478947368423,0.04796242686292801,5.0,4.0,D2 R3,5,-1,2,3
13,86.46752257643348,0.05983897286871402,1.0,0.0,D2 R3,5,-1,2,3
13,101.68484848484846,0.043144174034119825,1.0,2.0,D2 R3,5,-1,2,3
13,61.35818421052633,0.05091166444123867,1.0,3.0,D2 R3,5,-1,2,3
13,69.37244736842106,0.05279598991634249,1.0,4.0,D2 R3,5,-1,2,3
14,18.957131976933958,0.09034010485669117,2.0,0.0,D2 R3,5,-1,2,3
14,25.27358585858586,0.0730971846114653,2.0,2.0,D2 R3,5,-1,2,3
14,74.56092105263158,0.04664394439234803,2.0,3.0,D2 R3,5,-1,2,3
14,112.26636842105265,0.04763386880218436,2.0,4.0,D2 R3,5,-1,2,3
15,11.492438254814491,0.12184396141296051,3.0,0.0,D2 R3,5,-1,2,3
15,14.376515151515154,0.10468919752661912,3.0,2.0,D2 R3,5,-1,2,3
15,64.91455263157894,0.05646421046744487,3.0,3.0,D2 R3,5,-1,2,3
15,34.45226315789474,0.07089314947623135,3.0,4.0,D2 R3,5,-1,2,3
16,73.48863018169949,0.049987011846787235,8.0,0.0,D3 R1,5,-1,2,3
16,96.59378787878786,0.0434184989893045,8.0,2.0,D3 R1,5,-1,2,3
16,88.63102631578948,0.04461675833869758,8.0,3.0,D3 R1,5,-1,2,3
16,111.6023947368421,0.04109744096339348,8.0,4.0,D3 R1,5,-1,2,3
17,63.96561853987596,0.05459041135475228,7.0,0.0,D3 R1,5,-1,2,3
17,85.38611111111112,0.046169531072219376,7.0,2.0,D3 R1,5,-1,2,3
17,116.48897368421053,0.04117654208075919,7.0,3.0,D3 R1,5,-1,2,3
17,122.67055263157894,0.0399711027890368,7.0,4.0,D3 R1,5,-1,2,3
18,84.67392013926671,0.047844659367530816,6.0,0.0,D3 R1,5,-1,2,3
18,101.0532323232323,0.04207673935435609,6.0,2.0,D3 R1,5,-1,2,3
18,97.16850000000001,0.04513123753131565,6.0,3.0,D3 R1,5,-1,2,3
18,146.05086842105266,0.03672694878849889,6.0,4.0,D3 R1,5,-1,2,3
19,90.73441410075077,0.04071699226182678,4.0,0.0,D3 R1,5,-1,2,3
19,104.54762626262624,0.039766594043701385,4.0,2.0,D3 R1,5,-1,2,3
19,178.217947368421,0.03518597208517832,4.0,3.0,D3 R1,5,-1,2,3
19,109.24723684210528,0.04150800493500273,4.0,4.0,D3 R1,5,-1,2,3
20,92.04406484604507,0.048632829917356325,5.0,0.0,D3 R1,5,-1,2,3
20,99.5030808080808,0.046343826229266076,5.0,2.0,D3 R1,5,-1,2,3
20,167.3605526315789,0.03373875107498383,5.0,3.0,D3 R1,5,-1,2,3
20,149.03523684210526,0.03500546554080566,5.0,4.0,D3 R1,5,-1,2,3
21,307.7207050375367,0.025296895159438743,1.0,0.0,D3 R1,5,-1,2,3
21,258.34651515151506,0.027911455205718784,1.0,2.0,D3 R1,5,-1,2,3
21,233.0946315789474,0.02783210446195478,1.0,3.0,D3 R1,5,-1,2,3
21,270.6633157894737,0.027107089872017612,1.0,4.0,D3 R1,5,-1,2,3
22,174.7523664454358,0.03396455487752903,2.0,0.0,D3 R1,5,-1,2,3
22,182.3110101010101,0.03241733854565852,2.0,2.0,D3 R1,5,-1,2,3
22,327.83973684210514,0.02150734268740989,2.0,3.0,D3 R1,5,-1,2,3
22,239.96276315789467,0.02902063694030598,2.0,4.0,D3 R1,5,-1,2,3
23,136.2184745947122,0.03639921811399022,3.0,0.0,D3 R1,5,-1,2,3
23,189.270606060606,0.033910446409269684,3.0,2.0,D3 R1,5,-1,2,3
23,139.24384210526316,0.0355455308659603,3.0,3.0,D3 R1,5,-1,2,3
23,218.9689736842105,0.02820804682740679,3.0,4.0,D3 R1,5,-1,2,3
24,54.13806985094115,0.05635276033664617,8.0,0.0,D2 R1,5,-1,2,3
24,187.20287878787875,0.033235508428608555,8.0,2.0,D2 R1,5,-1,2,3
24,297.3287631578946,0.0292758811321962,8.0,3.0,D2 R1,5,-1,2,3
24,224.99434210526317,0.030679651191464298,8.0,4.0,D2 R1,5,-1,2,3
25,66.84811228375585,0.050426745880731656,7.0,0.0,D2 R1,5,-1,2,3
25,130.6193939393939,0.03620232881136497,7.0,2.0,D2 R1,5,-1,2,3
25,312.95239473684205,0.02396490826719033,7.0,3.0,D2 R1,5,-1,2,3
25,258.45952631578945,0.02920518561892752,7.0,4.0,D2 R1,5,-1,2,3
26,50.856707648786866,0.053514150138931314,6.0,0.0,D2 R1,5,-1,2,3
26,105.74843434343433,0.03857486688331936,6.0,2.0,D2 R1,5,-1,2,3
26,227.1736578947368,0.029013614389534405,6.0,3.0,D2 R1,5,-1,2,3
26,200.77850000000004,0.031046152312439654,6.0,4.0,D2 R1,5,-1,2,3
27,108.91361114133394,0.03722955661595591,4.0,0.0,D2 R1,5,-1,2,3
27,198.3437373737373,0.03135853257973871,4.0,2.0,D2 R1,5,-1,2,3
27,128.83131578947365,0.03813165159268078,4.0,3.0,D2 R1,5,-1,2,3
27,149.15913157894732,0.03434179269871875,4.0,4.0,D2 R1,5,-1,2,3
28,48.51952997497551,0.05504821236753476,5.0,0.0,D2 R1,5,-1,2,3
28,50.451313131313135,0.05723772156294637,5.0,2.0,D2 R1,5,-1,2,3
28,269.1050263157894,0.02786574958618554,5.0,3.0,D2 R1,5,-1,2,3
28,197.88876315789474,0.03188412299513623,5.0,4.0,D2 R1,5,-1,2,3
29,93.19649657273419,0.037935592353112224,1.0,0.0,D2 R1,5,-1,2,3
29,215.3899999999999,0.029513169790839955,1.0,2.0,D2 R1,5,-1,2,3
29,224.36060526315785,0.028247496395814947,1.0,3.0,D2 R1,5,-1,2,3
29,201.63992105263154,0.030301474599116227,1.0,4.0,D2 R1,5,-1,2,3
30,54.71548253726472,0.05206000892576587,2.0,0.0,D2 R1,5,-1,2,3
30,136.7216666666666,0.0359676460743,2.0,2.0,D2 R1,5,-1,2,3
30,227.91278947368417,0.028002769946091743,2.0,3.0,D2 R1,5,-1,2,3
30,310.2454210526315,0.02384020992815043,2.0,4.0,D2 R1,5,-1,2,3
31,59.23207485583724,0.05271424720000248,3.0,0.0,D2 R1,5,-1,2,3
31,139.7123737373737,0.0346518570766021,3.0,2.0,D2 R1,5,-1,2,3
31,227.20342105263154,0.029159705672435147,3.0,3.0,D2 R1,5,-1,2,3
31,297.67128947368417,0.023917086116629026,3.0,4.0,D2 R1,5,-1,2,3
32,53.88978348384289,0.05409570495649863,8.0,0.0,D3 R5,5,-1,2,3
32,87.45954545454543,0.0426970843995563,8.0,2.0,D3 R5,5,-1,2,3
32,146.3786052631579,0.03619522798775929,8.0,3.0,D3 R5,5,-1,2,3
32,143.72828947368419,0.034574491021024174,8.0,4.0,D3 R5,5,-1,2,3
33,58.11206615167011,0.05315675239917183,7.0,0.0,D3 R5,5,-1,2,3
33,95.75232323232319,0.0444965402896127,7.0,2.0,D3 R5,5,-1,2,3
33,99.47218421052631,0.04110442077444002,7.0,3.0,D3 R5,5,-1,2,3
33,100.32615789473685,0.04295415645530364,7.0,4.0,D3 R5,5,-1,2,3
34,68.70938962028072,0.04714759979801044,6.0,0.0,D3 R5,5,-1,2,3
34,187.5743434343434,0.03232035182872263,6.0,2.0,D3 R5,5,-1,2,3
34,115.25026315789472,0.03925989915219401,6.0,3.0,D3 R5,5,-1,2,3
34,208.4483421052631,0.03146347308394537,6.0,4.0,D3 R5,5,-1,2,3
35,136.21096725057123,0.039323414109871176,4.0,0.0,D3 R5,5,-1,2,3
35,146.69050505050504,0.03341053197072259,4.0,2.0,D3 R5,5,-1,2,3
35,81.96121052631577,0.04365050617977633,4.0,3.0,D3 R5,5,-1,2,3
35,139.46318421052632,0.03500883347174869,4.0,4.0,D3 R5,5,-1,2,3
36,44.934827548688936,0.05822426658889512,5.0,0.0,D3 R5,5,-1,2,3
36,79.71797979797981,0.04573829783215372,5.0,2.0,D3 R5,5,-1,2,3
36,79.29292105263158,0.04684730529977596,5.0,3.0,D3 R5,5,-1,2,3
36,66.97113157894738,0.049346610320654294,5.0,4.0,D3 R5,5,-1,2,3
37,110.7728212381678,0.03865660286877561,1.0,0.0,D3 R5,5,-1,2,3
37,134.18388888888884,0.037209885158583145,1.0,2.0,D3 R5,5,-1,2,3
37,223.2961842105263,0.028700019786301045,1.0,3.0,D3 R5,5,-1,2,3
37,173.9872105263158,0.034510596951357685,1.0,4.0,D3 R5,5,-1,2,3
38,157.29887933848335,0.033206212185230975,2.0,0.0,D3 R5,5,-1,2,3
38,112.85797979797978,0.03662692283525823,2.0,2.0,D3 R5,5,-1,2,3
38,262.07134210526317,0.025852614702977516,2.0,3.0,D3 R5,5,-1,2,3
38,129.44036842105263,0.03730033641876315,2.0,4.0,D3 R5,5,-1,2,3
39,102.47165705581547,0.036874037634267526,3.0,0.0,D3 R5,5,-1,2,3
39,333.93297979797956,0.02093469373785451,3.0,2.0,D3 R5,5,-1,2,3
39,245.16589473684206,0.02380816248911354,3.0,3.0,D3 R5,5,-1,2,3
39,226.4871315789473,0.024200956346571142,3.0,4.0,D3 R5,5,-1,2,3
40,60.54640409095856,0.05389839593636469,8.0,0.0,D2 R5,5,-1,2,3
40,75.3971717171717,0.0459235622978563,8.0,2.0,D2 R5,5,-1,2,3
40,40.94739473684211,0.05963159927067986,8.0,3.0,D2 R5,5,-1,2,3
40,186.11476315789474,0.03327599581540612,8.0,4.0,D2 R5,5,-1,2,3
41,35.497007942552486,0.07028257038685719,7.0,0.0,D2 R5,5,-1,2,3
41,55.83989898989898,0.06121242332492035,7.0,2.0,D2 R5,5,-1,2,3
41,66.24284210526315,0.04981551144026729,7.0,3.0,D2 R5,5,-1,2,3
41,51.016736842105274,0.05448416820038217,7.0,4.0,D2 R5,5,-1,2,3
42,49.08856490044609,0.05233804588287944,6.0,0.0,D2 R5,5,-1,2,3
42,182.90005050505042,0.03483728410247221,6.0,2.0,D2 R5,5,-1,2,3
42,130.52526315789476,0.03698935330088549,6.0,3.0,D2 R5,5,-1,2,3
42,164.97918421052634,0.03387897537262851,6.0,4.0,D2 R5,5,-1,2,3
43,76.22369709498423,0.042802042088354066,4.0,0.0,D2 R5,5,-1,2,3
43,89.03323232323231,0.042466264061108844,4.0,2.0,D2 R5,5,-1,2,3
43,147.73952631578948,0.03418896587806707,4.0,3.0,D2 R5,5,-1,2,3
43,111.39892105263158,0.039247558457505945,4.0,4.0,D2 R5,5,-1,2,3
44,54.040691981286045,0.051182218860304975,5.0,0.0,D2 R5,5,-1,2,3
44,62.09095959595958,0.04794566835033004,5.0,2.0,D2 R5,5,-1,2,3
