,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,242.00913157894735,0.029805643509938695,8.0,0.0,D3 R3,100,0,3,2
0,190.56321052631574,0.03206438834595164,8.0,1.0,D3 R3,100,0,3,2
0,235.13634210526317,0.029209672818256358,8.0,2.0,D3 R3,100,0,3,2
0,211.0653157894737,0.032876905693477905,8.0,3.0,D3 R3,100,0,3,2
0,129.30097368421053,0.039908729840117986,8.0,4.0,D3 R3,100,0,3,2
1,185.61457894736841,0.0326155096256987,7.0,0.0,D3 R3,100,0,3,2
1,134.4747105263158,0.03867000276148694,7.0,1.0,D3 R3,100,0,3,2
1,160.13052631578947,0.03477570593088931,7.0,2.0,D3 R3,100,0,3,2
1,168.3773947368421,0.03530845970684371,7.0,3.0,D3 R3,100,0,3,2
1,164.91168421052626,0.03578966234470399,7.0,4.0,D3 R3,100,0,3,2
2,175.28413157894738,0.03483337861775654,6.0,0.0,D3 R3,100,0,3,2
2,140.8590263157895,0.037442555262673226,6.0,1.0,D3 R3,100,0,3,2
2,150.75249999999997,0.03640542427849876,6.0,2.0,D3 R3,100,0,3,2
2,164.23486842105268,0.03500093983700559,6.0,3.0,D3 R3,100,0,3,2
2,159.49142105263158,0.03419084454083451,6.0,4.0,D3 R3,100,0,3,2
3,191.67202631578948,0.031917353454250334,4.0,0.0,D3 R3,100,0,3,2
3,186.69721052631576,0.031302064661577235,4.0,1.0,D3 R3,100,0,3,2
3,180.85073684210528,0.03289810509071239,4.0,2.0,D3 R3,100,0,3,2
3,117.41621052631581,0.04020706016336695,4.0,3.0,D3 R3,100,0,3,2
3,205.6847631578947,0.029403670366553395,4.0,4.0,D3 R3,100,0,3,2
4,223.59392105263157,0.030403843475142113,5.0,0.0,D3 R3,100,0,3,2
4,195.76176315789473,0.03209613761594214,5.0,1.0,D3 R3,100,0,3,2
4,233.80239473684213,0.029517354865013678,5.0,2.0,D3 R3,100,0,3,2
4,235.56571052631574,0.029110866025860906,5.0,3.0,D3 R3,100,0,3,2
4,212.5459210526315,0.030790795068361385,5.0,4.0,D3 R3,100,0,3,2
5,224.1204210526316,0.0304702638749555,1.0,0.0,D3 R3,100,0,3,2
5,255.7695,0.027376915432805033,1.0,1.0,D3 R3,100,0,3,2
5,221.68815789473686,0.030523536624851362,1.0,2.0,D3 R3,100,0,3,2
5,104.41599999999998,0.04056672199621268,1.0,3.0,D3 R3,100,0,3,2
5,179.7761578947368,0.03256361768409493,1.0,4.0,D3 R3,100,0,3,2
6,216.4352894736842,0.0298396395064112,2.0,0.0,D3 R3,100,0,3,2
6,170.0268947368421,0.03250267941224337,2.0,1.0,D3 R3,100,0,3,2
6,197.80347368421053,0.02971460509972641,2.0,2.0,D3 R3,100,0,3,2
6,205.81889473684203,0.029782184806624836,2.0,3.0,D3 R3,100,0,3,2
6,191.38665789473683,0.029907411369886984,2.0,4.0,D3 R3,100,0,3,2
7,263.1248421052631,0.027452622245316454,3.0,0.0,D3 R3,100,0,3,2
