,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,73.68557894736844,0.04983129780566859,8.0,0.0,D3 R3,500,-1,2,1
0,106.73855263157895,0.040996300758730383,8.0,1.0,D3 R3,500,-1,2,1
0,87.04505263157895,0.04499434405822488,8.0,2.0,D3 R3,500,-1,2,1
0,103.74963157894737,0.0428413940197007,8.0,3.0,D3 R3,500,-1,2,1
0,130.97444736842104,0.03775707359751546,8.0,4.0,D3 R3,500,-1,2,1
1,85.5175,0.050332701958335134,7.0,0.0,D3 R3,500,-1,2,1
1,127.33,0.038738862218492945,7.0,1.0,D3 R3,500,-1,2,1
1,117.58228947368418,0.03711991125574452,7.0,2.0,D3 R3,500,-1,2,1
1,125.21152631578951,0.039399702601630816,7.0,3.0,D3 R3,500,-1,2,1
1,127.41642105263159,0.040126824567382556,7.0,4.0,D3 R3,500,-1,2,1
2,87.16276315789474,0.04702892226158146,6.0,0.0,D3 R3,500,-1,2,1
2,81.01768421052634,0.04892994171952284,6.0,1.0,D3 R3,500,-1,2,1
2,48.62781578947369,0.05678288215977762,6.0,2.0,D3 R3,500,-1,2,1
2,93.58597368421056,0.04525494111465465,6.0,3.0,D3 R3,500,-1,2,1
2,51.62165789473684,0.05549650609151581,6.0,4.0,D3 R3,500,-1,2,1
3,122.08136842105264,0.039161475854923224,4.0,0.0,D3 R3,500,-1,2,1
3,117.323,0.039266553049200174,4.0,1.0,D3 R3,500,-1,2,1
3,130.71497368421055,0.038622135121321816,4.0,2.0,D3 R3,500,-1,2,1
3,115.81476315789475,0.04100407891337918,4.0,3.0,D3 R3,500,-1,2,1
3,152.79894736842107,0.03410812609815993,4.0,4.0,D3 R3,500,-1,2,1
4,200.07847368421054,0.031063875083125983,5.0,0.0,D3 R3,500,-1,2,1
4,195.54034210526316,0.031491463249867076,5.0,1.0,D3 R3,500,-1,2,1
4,216.20799999999997,0.031014751650538776,5.0,2.0,D3 R3,500,-1,2,1
4,174.89115789473684,0.03245227158070637,5.0,3.0,D3 R3,500,-1,2,1
4,164.9678157894737,0.03308339584039719,5.0,4.0,D3 R3,500,-1,2,1
5,73.94181578947365,0.04406942945158656,1.0,0.0,D3 R3,500,-1,2,1
5,90.72271052631577,0.04225349319264158,1.0,1.0,D3 R3,500,-1,2,1
5,169.10992105263156,0.03285093399381406,1.0,2.0,D3 R3,500,-1,2,1
5,96.12044736842105,0.04224291643482571,1.0,3.0,D3 R3,500,-1,2,1
5,116.64094736842102,0.03587359502398105,1.0,4.0,D3 R3,500,-1,2,1
6,127.4501842105263,0.03701890379558999,2.0,0.0,D3 R3,500,-1,2,1
6,77.41755263157894,0.04533400208620848,2.0,1.0,D3 R3,500,-1,2,1
6,161.05544736842106,0.034087572572392366,2.0,2.0,D3 R3,500,-1,2,1
6,136.60173684210525,0.03696312360887819,2.0,3.0,D3 R3,500,-1,2,1
6,139.11200000000002,0.03504417967488856,2.0,4.0,D3 R3,500,-1,2,1
7,174.30581578947368,0.03295734042802366,3.0,0.0,D3 R3,500,-1,2,1
7,227.4603684210526,0.028572155585328936,3.0,1.0,D3 R3,500,-1,2,1
7,212.82626315789472,0.02921688527275881,3.0,2.0,D3 R3,500,-1,2,1
7,181.76873684210528,0.03274990748755199,3.0,3.0,D3 R3,500,-1,2,1
7,208.54131578947366,0.029559684212587957,3.0,4.0,D3 R3,500,-1,2,1
8,63.223184210526334,0.051130194065271806,8.0,0.0,D2 R3,500,-1,2,1
8,68.43963157894738,0.04783398764436454,8.0,1.0,D2 R3,500,-1,2,1
8,52.12113157894737,0.06043791026524593,8.0,2.0,D2 R3,500,-1,2,1
8,55.07107894736844,0.053607624033999476,8.0,3.0,D2 R3,500,-1,2,1
8,47.65707894736843,0.060590300847468186,8.0,4.0,D2 R3,500,-1,2,1
9,81.66373684210527,0.043300730419331794,7.0,0.0,D2 R3,500,-1,2,1
9,79.83599999999998,0.04799748233240268,7.0,1.0,D2 R3,500,-1,2,1
9,64.02655263157895,0.05206812871326212,7.0,2.0,D2 R3,500,-1,2,1
9,61.013289473684225,0.052914424196892136,7.0,3.0,D2 R3,500,-1,2,1
9,53.34360526315788,0.05501911340011923,7.0,4.0,D2 R3,500,-1,2,1
10,63.4117105263158,0.05372171032892401,6.0,0.0,D2 R3,500,-1,2,1
10,81.82818421052632,0.04468825147557911,6.0,1.0,D2 R3,500,-1,2,1
10,73.09986842105265,0.04766065556245172,6.0,2.0,D2 R3,500,-1,2,1
10,71.85092105263158,0.04749627482112315,6.0,3.0,D2 R3,500,-1,2,1
10,54.18373684210526,0.05022275173906511,6.0,4.0,D2 R3,500,-1,2,1
11,77.12278947368422,0.04987231272136159,4.0,0.0,D2 R3,500,-1,2,1
11,84.94105263157896,0.04615613931727719,4.0,1.0,D2 R3,500,-1,2,1
11,61.6207105263158,0.05407867204437534,4.0,2.0,D2 R3,500,-1,2,1
11,85.52750000000002,0.045921105413934384,4.0,3.0,D2 R3,500,-1,2,1
11,77.50331578947369,0.04786386367588163,4.0,4.0,D2 R3,500,-1,2,1
12,78.18144736842108,0.04883467502466402,5.0,0.0,D2 R3,500,-1,2,1
12,97.0823947368421,0.04487017283198605,5.0,1.0,D2 R3,500,-1,2,1
12,80.52602631578948,0.046676366308284464,5.0,2.0,D2 R3,500,-1,2,1
12,72.76557894736843,0.048436932464729826,5.0,3.0,D2 R3,500,-1,2,1
12,65.7251052631579,0.05004631511419893,5.0,4.0,D2 R3,500,-1,2,1
13,66.69510526315791,0.05421103410595085,1.0,0.0,D2 R3,500,-1,2,1
13,75.6071052631579,0.04988889317322907,1.0,1.0,D2 R3,500,-1,2,1
13,53.9467105263158,0.06008313146783054,1.0,2.0,D2 R3,500,-1,2,1
13,67.87152631578947,0.05399255168186732,1.0,3.0,D2 R3,500,-1,2,1
13,61.655,0.05549181080557738,1.0,4.0,D2 R3,500,-1,2,1
14,60.30221052631579,0.051070798449736714,2.0,0.0,D2 R3,500,-1,2,1
14,77.70755263157895,0.0464090903849678,2.0,1.0,D2 R3,500,-1,2,1
14,59.47168421052633,0.05731225219861425,2.0,2.0,D2 R3,500,-1,2,1
14,28.192421052631584,0.07086541367942249,2.0,3.0,D2 R3,500,-1,2,1
14,41.74218421052631,0.059546907067237656,2.0,4.0,D2 R3,500,-1,2,1
15,55.83239473684212,0.055960199919847076,3.0,0.0,D2 R3,500,-1,2,1
15,48.759263157894736,0.057642431686631,3.0,1.0,D2 R3,500,-1,2,1
15,66.42447368421053,0.05445509789708039,3.0,2.0,D2 R3,500,-1,2,1
15,47.38555263157896,0.060826088312422186,3.0,3.0,D2 R3,500,-1,2,1
15,44.03423684210527,0.07502353970385091,3.0,4.0,D2 R3,500,-1,2,1
16,131.93671052631578,0.03979203208149233,8.0,0.0,D3 R1,500,-1,2,1
16,61.26555263157895,0.05333501627654047,8.0,1.0,D3 R1,500,-1,2,1
16,120.2183947368421,0.039004629848064035,8.0,2.0,D3 R1,500,-1,2,1
16,76.30863157894738,0.049274933224930206,8.0,3.0,D3 R1,500,-1,2,1
16,91.24581578947367,0.04486473591904752,8.0,4.0,D3 R1,500,-1,2,1
17,95.24197368421052,0.045115924859192205,7.0,0.0,D3 R1,500,-1,2,1
17,90.09013157894738,0.04299345276445495,7.0,1.0,D3 R1,500,-1,2,1
17,96.08697368421053,0.04167815446438082,7.0,2.0,D3 R1,500,-1,2,1
17,85.33360526315789,0.04601361881381957,7.0,3.0,D3 R1,500,-1,2,1
17,96.61847368421056,0.04463099707912662,7.0,4.0,D3 R1,500,-1,2,1
18,83.90347368421052,0.045108560187796576,6.0,0.0,D3 R1,500,-1,2,1
18,122.18865789473685,0.03930039154541935,6.0,1.0,D3 R1,500,-1,2,1
18,80.45573684210527,0.0451212509281221,6.0,2.0,D3 R1,500,-1,2,1
18,143.14807894736845,0.03623949365370615,6.0,3.0,D3 R1,500,-1,2,1
18,139.19423684210525,0.035799331072844894,6.0,4.0,D3 R1,500,-1,2,1
19,103.58302631578947,0.040232891961277994,4.0,0.0,D3 R1,500,-1,2,1
19,93.43999999999998,0.043259464082290484,4.0,1.0,D3 R1,500,-1,2,1
19,115.28015789473686,0.03965088734235353,4.0,2.0,D3 R1,500,-1,2,1
19,143.48481578947369,0.0387353805859872,4.0,3.0,D3 R1,500,-1,2,1
19,111.97284210526315,0.04016084782547478,4.0,4.0,D3 R1,500,-1,2,1
20,135.55434210526317,0.03968397493996804,5.0,0.0,D3 R1,500,-1,2,1
20,133.04239473684208,0.037906873970070726,5.0,1.0,D3 R1,500,-1,2,1
20,110.7256842105263,0.04222861864526214,5.0,2.0,D3 R1,500,-1,2,1
20,85.8440789473684,0.044666500426917395,5.0,3.0,D3 R1,500,-1,2,1
20,117.48907894736843,0.04261587592536878,5.0,4.0,D3 R1,500,-1,2,1
21,215.0655789473684,0.029121919902996868,1.0,0.0,D3 R1,500,-1,2,1
21,131.89526315789476,0.03435913572481463,1.0,1.0,D3 R1,500,-1,2,1
21,206.47865789473684,0.027798661509458533,1.0,2.0,D3 R1,500,-1,2,1
21,311.6555526315788,0.02407569002989347,1.0,3.0,D3 R1,500,-1,2,1
21,212.5960526315789,0.027881035612301135,1.0,4.0,D3 R1,500,-1,2,1
22,218.84513157894733,0.029759382467977154,2.0,0.0,D3 R1,500,-1,2,1
22,197.78723684210524,0.03029444606860931,2.0,1.0,D3 R1,500,-1,2,1
22,295.1535789473683,0.02353799162761121,2.0,2.0,D3 R1,500,-1,2,1
22,210.65886842105266,0.030465780494900098,2.0,3.0,D3 R1,500,-1,2,1
22,200.5315789473684,0.0296406805690817,2.0,4.0,D3 R1,500,-1,2,1
23,96.70297368421049,0.03966160531657901,3.0,0.0,D3 R1,500,-1,2,1
23,116.1156052631579,0.03385652369449498,3.0,1.0,D3 R1,500,-1,2,1
23,129.55847368421053,0.03338414352325312,3.0,2.0,D3 R1,500,-1,2,1
23,115.41807894736843,0.03644980991252601,3.0,3.0,D3 R1,500,-1,2,1
23,191.91736842105266,0.031548916641847446,3.0,4.0,D3 R1,500,-1,2,1
24,72.00260526315789,0.0471775173577873,8.0,0.0,D2 R1,500,-1,2,1
24,116.43110526315787,0.039184546320713096,8.0,1.0,D2 R1,500,-1,2,1
24,146.77123684210522,0.03578405531739589,8.0,2.0,D2 R1,500,-1,2,1
