,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,73.68557894736844,0.04983129780566859,8.0,0.0,D3 R3,500,-1,3,2
0,106.73855263157895,0.040996300758730383,8.0,1.0,D3 R3,500,-1,3,2
0,87.04505263157895,0.04499434405822488,8.0,2.0,D3 R3,500,-1,3,2
0,103.74963157894737,0.0428413940197007,8.0,3.0,D3 R3,500,-1,3,2
0,130.97444736842104,0.03775707359751546,8.0,4.0,D3 R3,500,-1,3,2
1,90.08315789473686,0.04976613590131825,7.0,0.0,D3 R3,500,-1,3,2
1,125.21468421052633,0.03894051771185883,7.0,1.0,D3 R3,500,-1,3,2
1,113.0057894736842,0.039993723538046234,7.0,2.0,D3 R3,500,-1,3,2
1,125.02552631578948,0.03996010389184557,7.0,3.0,D3 R3,500,-1,3,2
1,123.45807894736842,0.040867819496030265,7.0,4.0,D3 R3,500,-1,3,2
2,84.81786842105264,0.04728163467816374,6.0,0.0,D3 R3,500,-1,3,2
2,78.37165789473687,0.050438437833465195,6.0,1.0,D3 R3,500,-1,3,2
2,53.01497368421053,0.05572338128296459,6.0,2.0,D3 R3,500,-1,3,2
2,92.6762894736842,0.044872252498858685,6.0,3.0,D3 R3,500,-1,3,2
2,50.673210526315806,0.05518974760766016,6.0,4.0,D3 R3,500,-1,3,2
3,132.13823684210521,0.03620209127581419,4.0,0.0,D3 R3,500,-1,3,2
3,134.22163157894735,0.037074123738391036,4.0,1.0,D3 R3,500,-1,3,2
3,119.96918421052631,0.038830211415334284,4.0,2.0,D3 R3,500,-1,3,2
3,109.0535789473684,0.041552994065283344,4.0,3.0,D3 R3,500,-1,3,2
3,113.2802105263158,0.04095434844445331,4.0,4.0,D3 R3,500,-1,3,2
4,200.07847368421054,0.031063875083125983,5.0,0.0,D3 R3,500,-1,3,2
4,195.54034210526316,0.031491463249867076,5.0,1.0,D3 R3,500,-1,3,2
4,216.20799999999997,0.031014751650538776,5.0,2.0,D3 R3,500,-1,3,2
4,174.89115789473684,0.03245227158070637,5.0,3.0,D3 R3,500,-1,3,2
4,164.9678157894737,0.03308339584039719,5.0,4.0,D3 R3,500,-1,3,2
5,74.26671052631579,0.04406940195153153,1.0,0.0,D3 R3,500,-1,3,2
5,106.22831578947368,0.042695067248020815,1.0,1.0,D3 R3,500,-1,3,2
5,105.27681578947369,0.040686487135866915,1.0,2.0,D3 R3,500,-1,3,2
5,167.36252631578944,0.03260018651273056,1.0,3.0,D3 R3,500,-1,3,2
5,120.02681578947364,0.038173055064586965,1.0,4.0,D3 R3,500,-1,3,2
6,127.4501842105263,0.03701890379558999,2.0,0.0,D3 R3,500,-1,3,2
6,76.22544736842106,0.045677282399720576,2.0,1.0,D3 R3,500,-1,3,2
6,161.05544736842106,0.034087572572392366,2.0,2.0,D3 R3,500,-1,3,2
6,136.60173684210525,0.03696312360887819,2.0,3.0,D3 R3,500,-1,3,2
6,139.11200000000002,0.03504417967488856,2.0,4.0,D3 R3,500,-1,3,2
7,174.30581578947368,0.03295734042802366,3.0,0.0,D3 R3,500,-1,3,2
7,227.4603684210526,0.028572155585328936,3.0,1.0,D3 R3,500,-1,3,2
7,212.82626315789472,0.02921688527275881,3.0,2.0,D3 R3,500,-1,3,2
7,181.76873684210528,0.03274990748755199,3.0,3.0,D3 R3,500,-1,3,2
7,208.54131578947366,0.029559684212587957,3.0,4.0,D3 R3,500,-1,3,2
8,64.80852631578948,0.04959300071806108,8.0,0.0,D2 R3,500,-1,3,2
8,49.67805263157896,0.06149240150793672,8.0,1.0,D2 R3,500,-1,3,2
8,48.2077105263158,0.05571208634665331,8.0,2.0,D2 R3,500,-1,3,2
8,92.94676315789475,0.044780253704994305,8.0,3.0,D2 R3,500,-1,3,2
8,47.506052631578946,0.059356276753412526,8.0,4.0,D2 R3,500,-1,3,2
9,83.72834210526315,0.045465193225299835,7.0,0.0,D2 R3,500,-1,3,2
9,78.04978947368421,0.048561787754539044,7.0,1.0,D2 R3,500,-1,3,2
9,63.19068421052631,0.052872160670443744,7.0,2.0,D2 R3,500,-1,3,2
9,59.79926315789473,0.053583176986398244,7.0,3.0,D2 R3,500,-1,3,2
9,57.15657894736843,0.05431176354418791,7.0,4.0,D2 R3,500,-1,3,2
10,62.36123684210527,0.0536879674897979,6.0,0.0,D2 R3,500,-1,3,2
10,90.01397368421053,0.044257274782696865,6.0,1.0,D2 R3,500,-1,3,2
10,65.57244736842105,0.0530775643689043,6.0,2.0,D2 R3,500,-1,3,2
10,74.37539473684211,0.04693695674612126,6.0,3.0,D2 R3,500,-1,3,2
10,71.96913157894738,0.046678087327621916,6.0,4.0,D2 R3,500,-1,3,2
11,88.7027105263158,0.04746416493428055,4.0,0.0,D2 R3,500,-1,3,2
11,74.61163157894737,0.050581784930536035,4.0,1.0,D2 R3,500,-1,3,2
11,78.26123684210525,0.047735688780822065,4.0,2.0,D2 R3,500,-1,3,2
11,61.215315789473706,0.051204112623738425,4.0,3.0,D2 R3,500,-1,3,2
11,81.9301315789474,0.0486861343858849,4.0,4.0,D2 R3,500,-1,3,2
12,80.43097368421051,0.047547796334720796,5.0,0.0,D2 R3,500,-1,3,2
12,94.86465789473687,0.043945950181969236,5.0,1.0,D2 R3,500,-1,3,2
12,72.29305263157896,0.049047450031277244,5.0,2.0,D2 R3,500,-1,3,2
12,67.0182105263158,0.049488124292433835,5.0,3.0,D2 R3,500,-1,3,2
12,75.13036842105265,0.048395001573357965,5.0,4.0,D2 R3,500,-1,3,2
13,66.69510526315791,0.05421103410595085,1.0,0.0,D2 R3,500,-1,3,2
13,75.21128947368423,0.04954027573265606,1.0,1.0,D2 R3,500,-1,3,2
13,71.1305263157895,0.05301600396012772,1.0,2.0,D2 R3,500,-1,3,2
13,52.75200000000001,0.06027807790482605,1.0,3.0,D2 R3,500,-1,3,2
13,49.51928947368421,0.06830487606447161,1.0,4.0,D2 R3,500,-1,3,2
