,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,218.42068421052625,0.03077149722634968,8.0,0.0,D3 R3,500,0,2,1
0,256.952,0.028467797815520852,8.0,1.0,D3 R3,500,0,2,1
0,220.29378947368423,0.031484738861286984,8.0,2.0,D3 R3,500,0,2,1
0,186.5966052631579,0.03352868082214286,8.0,3.0,D3 R3,500,0,2,1
0,278.59399999999994,0.025504236245808148,8.0,4.0,D3 R3,500,0,2,1
1,188.55205263157896,0.03258967491947934,7.0,0.0,D3 R3,500,0,2,1
1,160.8857631578947,0.03528682434421053,7.0,1.0,D3 R3,500,0,2,1
1,173.48486842105262,0.035175371877260955,7.0,2.0,D3 R3,500,0,2,1
1,179.12928947368417,0.03430505664413543,7.0,3.0,D3 R3,500,0,2,1
1,138.93755263157894,0.037536418142659934,7.0,4.0,D3 R3,500,0,2,1
2,145.56021052631579,0.03683757020960216,6.0,0.0,D3 R3,500,0,2,1
2,159.3591315789474,0.036434155879908094,6.0,1.0,D3 R3,500,0,2,1
2,186.59402631578945,0.03453268354308684,6.0,2.0,D3 R3,500,0,2,1
2,148.2944473684211,0.03697462538603568,6.0,3.0,D3 R3,500,0,2,1
2,144.94621052631578,0.03688331342035672,6.0,4.0,D3 R3,500,0,2,1
3,166.4457105263158,0.03354212941933442,4.0,0.0,D3 R3,500,0,2,1
3,207.10097368421057,0.02984760461720574,4.0,1.0,D3 R3,500,0,2,1
3,179.1086052631579,0.032327316648030804,4.0,2.0,D3 R3,500,0,2,1
3,187.70373684210526,0.032696036719677746,4.0,3.0,D3 R3,500,0,2,1
3,187.74094736842108,0.03225631527850416,4.0,4.0,D3 R3,500,0,2,1
4,239.88339473684204,0.028564586388881364,5.0,0.0,D3 R3,500,0,2,1
4,238.15660526315793,0.029410741060889513,5.0,1.0,D3 R3,500,0,2,1
4,223.24536842105263,0.02982140979220231,5.0,2.0,D3 R3,500,0,2,1
4,200.66807894736849,0.030504977796420547,5.0,3.0,D3 R3,500,0,2,1
4,257.0527368421053,0.028731600158108654,5.0,4.0,D3 R3,500,0,2,1
5,309.3066578947368,0.023729736945707278,1.0,0.0,D3 R3,500,0,2,1
5,187.70373684210526,0.03078565540876738,1.0,1.0,D3 R3,500,0,2,1
5,218.73647368421052,0.031008057884034143,1.0,2.0,D3 R3,500,0,2,1
5,191.22744736842105,0.03256523391338983,1.0,3.0,D3 R3,500,0,2,1
5,167.1837105263157,0.032507920407135786,1.0,4.0,D3 R3,500,0,2,1
6,199.77510526315785,0.028545736494652935,2.0,0.0,D3 R3,500,0,2,1
6,180.8791052631579,0.03082942190258593,2.0,1.0,D3 R3,500,0,2,1
6,191.67631578947362,0.030843430005679243,2.0,2.0,D3 R3,500,0,2,1
6,184.57276315789477,0.03166599297043004,2.0,3.0,D3 R3,500,0,2,1
