,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,57.12481578947369,0.05441608001816133,8.0,0.0,D3 R3,50,0,3,2
0,114.2583947368421,0.04093958372083743,8.0,1.0,D3 R3,50,0,3,2
0,70.24392105263158,0.04976129655012047,8.0,2.0,D3 R3,50,0,3,2
0,79.01331578947368,0.046232569523708536,8.0,3.0,D3 R3,50,0,3,2
0,92.53434210526315,0.04619213832092296,8.0,4.0,D3 R3,50,0,3,2
1,140.5296842105263,0.03848074850545616,7.0,0.0,D3 R3,50,0,3,2
1,139.289,0.037669386602128395,7.0,1.0,D3 R3,50,0,3,2
1,147.57044736842101,0.03937980063510913,7.0,2.0,D3 R3,50,0,3,2
1,133.53694736842107,0.03805826376022971,7.0,3.0,D3 R3,50,0,3,2
1,163.24247368421052,0.036539182285667854,7.0,4.0,D3 R3,50,0,3,2
2,61.77721052631579,0.05165604804056322,6.0,0.0,D3 R3,50,0,3,2
2,113.95634210526313,0.03923321049945037,6.0,1.0,D3 R3,50,0,3,2
2,156.73215789473684,0.03470379209244385,6.0,2.0,D3 R3,50,0,3,2
2,81.18836842105264,0.04588304489530165,6.0,3.0,D3 R3,50,0,3,2
2,54.41684210526317,0.05745385357709896,6.0,4.0,D3 R3,50,0,3,2
3,162.18171052631578,0.03436686443641805,4.0,0.0,D3 R3,50,0,3,2
3,190.22123684210524,0.030518471088216828,4.0,1.0,D3 R3,50,0,3,2
3,145.64176315789473,0.03476480632770403,4.0,2.0,D3 R3,50,0,3,2
3,107.74665789473684,0.04028383541970506,4.0,3.0,D3 R3,50,0,3,2
3,166.28523684210523,0.03319859657281362,4.0,4.0,D3 R3,50,0,3,2
4,239.88734210526312,0.029047863834571384,5.0,0.0,D3 R3,50,0,3,2
4,206.95413157894734,0.03207607063652317,5.0,1.0,D3 R3,50,0,3,2
4,240.4157894736842,0.029093054449035,5.0,2.0,D3 R3,50,0,3,2
4,246.72168421052623,0.03026497134154778,5.0,3.0,D3 R3,50,0,3,2
4,215.6622105263158,0.030198850439495804,5.0,4.0,D3 R3,50,0,3,2
5,107.86568421052631,0.03811351320984037,1.0,0.0,D3 R3,50,0,3,2
5,96.08860526315787,0.03826287283612053,1.0,1.0,D3 R3,50,0,3,2
5,145.72615789473682,0.03702084929534271,1.0,2.0,D3 R3,50,0,3,2
5,163.76957894736836,0.03310579135215817,1.0,3.0,D3 R3,50,0,3,2
5,157.88113157894736,0.03288685695092803,1.0,4.0,D3 R3,50,0,3,2
6,101.3782894736842,0.04110023387253084,2.0,0.0,D3 R3,50,0,3,2
6,184.80831578947365,0.03071220624097795,2.0,1.0,D3 R3,50,0,3,2
6,144.8824210526316,0.03409690646482338,2.0,2.0,D3 R3,50,0,3,2
6,154.49689473684208,0.03330930863214135,2.0,3.0,D3 R3,50,0,3,2
6,134.47310526315792,0.03601183823515251,2.0,4.0,D3 R3,50,0,3,2
7,225.65873684210527,0.028604682122603284,3.0,0.0,D3 R3,50,0,3,2
7,212.986947368421,0.03009354644099165,3.0,1.0,D3 R3,50,0,3,2
7,189.89778947368416,0.03153886161933824,3.0,2.0,D3 R3,50,0,3,2
7,187.16799999999995,0.032982656191069305,3.0,3.0,D3 R3,50,0,3,2
7,215.07084210526313,0.03024366076751454,3.0,4.0,D3 R3,50,0,3,2
8,55.783447368421065,0.05725178570803712,8.0,0.0,D2 R3,50,0,3,2
8,53.85173684210527,0.055792027622774104,8.0,1.0,D2 R3,50,0,3,2
8,45.05718421052632,0.05767241403583019,8.0,2.0,D2 R3,50,0,3,2
8,50.04600000000001,0.05609752958450813,8.0,3.0,D2 R3,50,0,3,2
8,75.76531578947369,0.04872167477414733,8.0,4.0,D2 R3,50,0,3,2
9,61.11915789473686,0.05221846422042846,7.0,0.0,D2 R3,50,0,3,2
9,51.985105263157905,0.060590609444934516,7.0,1.0,D2 R3,50,0,3,2
9,49.900447368421055,0.054512949870660174,7.0,2.0,D2 R3,50,0,3,2
9,59.527657894736855,0.054051968555355524,7.0,3.0,D2 R3,50,0,3,2
9,76.37186842105265,0.0532723624249756,7.0,4.0,D2 R3,50,0,3,2
10,31.33250000000001,0.06951086026867212,6.0,0.0,D2 R3,50,0,3,2
10,32.896894736842114,0.062301371353897,6.0,1.0,D2 R3,50,0,3,2
10,29.87665789473686,0.07117385370712723,6.0,2.0,D2 R3,50,0,3,2
10,60.35747368421053,0.05210057461627714,6.0,3.0,D2 R3,50,0,3,2
10,36.78073684210528,0.07831181459211084,6.0,4.0,D2 R3,50,0,3,2
11,44.80497368421053,0.05717338890508388,4.0,0.0,D2 R3,50,0,3,2
11,57.790526315789485,0.051028460094462866,4.0,1.0,D2 R3,50,0,3,2
11,49.549789473684214,0.05858607265030878,4.0,2.0,D2 R3,50,0,3,2
11,74.47328947368422,0.04888802288049126,4.0,3.0,D2 R3,50,0,3,2
11,85.43684210526317,0.04821648362986262,4.0,4.0,D2 R3,50,0,3,2
