,contrast,energy,image_num,rep_n,subject,ns,ed_w,co_w,en_w
0,235.2648684210526,0.02957370832981097,8.0,0.0,D3 R3,500,0,3,0
0,245.89049999999995,0.028070135005453325,8.0,1.0,D3 R3,500,0,3,0
0,241.0562368421052,0.0295400861500215,8.0,2.0,D3 R3,500,0,3,0
0,207.95728947368417,0.03016380717280056,8.0,3.0,D3 R3,500,0,3,0
0,200.1583157894737,0.032107511784929564,8.0,4.0,D3 R3,500,0,3,0
1,188.82252631578947,0.03274005738145125,7.0,0.0,D3 R3,500,0,3,0
1,182.3403684210527,0.033933386553535894,7.0,1.0,D3 R3,500,0,3,0
1,177.46155263157894,0.03483886532876927,7.0,2.0,D3 R3,500,0,3,0
1,178.03894736842108,0.034977282892751364,7.0,3.0,D3 R3,500,0,3,0
1,151.6595,0.03696283320825345,7.0,4.0,D3 R3,500,0,3,0
2,169.21036842105258,0.034264628273082444,6.0,0.0,D3 R3,500,0,3,0
2,145.04147368421053,0.03670365432756295,6.0,1.0,D3 R3,500,0,3,0
2,191.88507894736836,0.03216064033416625,6.0,2.0,D3 R3,500,0,3,0
2,156.77431578947372,0.0362967341311482,6.0,3.0,D3 R3,500,0,3,0
2,149.90352631578952,0.03686036201787285,6.0,4.0,D3 R3,500,0,3,0
3,211.67418421052636,0.02944873826831241,4.0,0.0,D3 R3,500,0,3,0
3,172.56547368421053,0.0332311742469064,4.0,1.0,D3 R3,500,0,3,0
3,184.2727631578947,0.0321613078557401,4.0,2.0,D3 R3,500,0,3,0
3,209.50373684210527,0.03147142880494832,4.0,3.0,D3 R3,500,0,3,0
3,167.57236842105266,0.03377337089657252,4.0,4.0,D3 R3,500,0,3,0
4,193.47776315789469,0.03095017105999026,5.0,0.0,D3 R3,500,0,3,0
4,245.683052631579,0.028619875946079416,5.0,1.0,D3 R3,500,0,3,0
4,204.36247368421056,0.03040757304710388,5.0,2.0,D3 R3,500,0,3,0
4,225.76276315789468,0.029521214025888677,5.0,3.0,D3 R3,500,0,3,0
4,256.4961052631579,0.02892141779377726,5.0,4.0,D3 R3,500,0,3,0
5,310.98305263157886,0.02373080942128762,1.0,0.0,D3 R3,500,0,3,0
5,189.44921052631574,0.03195855717536856,1.0,1.0,D3 R3,500,0,3,0
5,184.62871052631579,0.03221430468895453,1.0,2.0,D3 R3,500,0,3,0
5,191.10597368421054,0.03253737463168222,1.0,3.0,D3 R3,500,0,3,0
5,268.8377368421052,0.027321613566314778,1.0,4.0,D3 R3,500,0,3,0
6,193.58355263157887,0.03007480286407575,2.0,0.0,D3 R3,500,0,3,0
